query,gold_answer
"В каком месте Москвы встретились в начале романа писатели Берлиоз и Иван Бездомный?","На Патриарших прудах."
"На какую тему стал спорить с Берлиозом и Бездомным подсевший к ним профессор чёрной магии Воланд?","На тему о Боге. Воланд убеждал двух советских писателей-атеистов, что Бог существует и управляет жизнью людей и мира."
"За что иудейский Синедрион две тысячи лет назад потребовал казнить странствующего проповедника Иешуа Га-Ноцри?","За то, что он якобы призывал разрушить Иерусалимский храм. Иешуа же на самом деле лишь образно предрекал разрушение храма старой веры и воздвижение вместо него любви к истине в людских сердцах."
"Как звали иудейского первосвященника, которого прокуратор Понтий Пилат уговаривал помиловать Га-Ноцри?","Каифа."
"Что окончательно убедило Берлиоза и Ивана Бездомного в сумасшествии Воланда?","Он уверял их, что сам присутствовал две тысячи лет назад на балконе у Понтия Пилата при его разговоре с Иешуа."
"На какой московской улице Берлиоз попал под колёса трамвая?","На Малой Бронной."
"Какую монету протянул кондукторше в лапе на глазах Ивана Бездомного кот Бегемот, сев в трамвай у Никитских ворот?","Гривенник."
"Что захватил с собой Бездомный из коммунальной квартиры, куда он ворвался в поисках скрывшегося с глаз Воланда?","Пыльную иконку и свечку, чтобы обороняться с их помощью от нечистой силы."
"Как называлась советская литературная ассоциация, возглавлявшаяся покойным Берлиозом?","МАССОЛИТ."
"Где размещалось правление этой ассоциации?","В московском Доме Грибоедова на Бульварном кольце."
"Почему собратья по перу связали Ивана Бездомного и отправили его в психиатрическую больницу?","После погони за Воландом и его свитой Иван явился ночью в ресторан Дома Грибоедова в одних кальсонах с иконкой на груди и свечкой в руке."
"Кем Иван обзывал привезшего его в психушку поэта Рюхина?","«Балбесом, бездарностью и типичным кулачком, маскирующимся под пролетария»."
"Какой диагноз поставили Бездомному врачи-психиатры?","Шизофрения, отягчённая алкоголизмом."
"В какую квартиру явился Воланд на следующий день после гибели Берлиоза?","В квартиру № 50 шестиэтажного дома № 302-бис на Садовой улице – ту, где жил Берлиоз до своей смерти. Эта квартира давно слыла «нехорошей». Берлиоз проживал здесь с соседями. Воланд и его свита появились в комнате одного из этих соседей – директора театра Варьете Стёпы Лиходеева."
"В какой город был выброшен по приказу Воланда из Москвы при помощи магии лентяй и пьяница Стёпа Лиходеев?","В Ялту."
"Как звали главврача психиатрической клиники, который пришёл в то же утро осматривать Ивана Бездомного?","Профессор Стравинский."
